keys,en,pt_BR,pt
LEVEL_01_01,Dipping the Toes,Molhando os Pés,Mergulhando os dedos dos pés
LEVEL_01_02,Unknown Depths,Profundezas Desconhecidas,Profundidades desconhecidas
LEVEL_01_03,Aquariums,Aquários,Aquários
LEVEL_01_04,Tiny Pools,Pequenas Piscinas,Piscinas minúsculas
LEVEL_01_05,Counting Waters,Contando Águas,Contando Águas
LEVEL_01_06,Deep Diving,Mergulho Profundo,Mergulho Profundo
LEVEL_01_07,Ocean View,Vista pro Oceano,vista do oceano
LEVEL_01_08,Bubble Trouble,Problemas Borbulhantes,Problema de bolha
LEVEL_02_01,Together & Separate,Juntos & Separados,Juntos e Separados
LEVEL_02_02,Coral & Reef,Recifes & Corais,Recife de corais
LEVEL_02_03,Tide & Current,Maré & Corrente,Maré e corrente
LEVEL_02_04,Wave & Ripple,Onda & Quebra,Onda e ondulação
LEVEL_02_05,Sun & Breeze,Sol & Brisa,Sol e Brisa
LEVEL_02_06,Wet & Wild,Molhado & Selvagem,Molhado e Selvagem
LEVEL_02_07,Beach & Sand,Praia & Areia,Areia da praia
LEVEL_02_08,Whirlpool & Vortex,Redemoinho & Vórtice,Redemoinho e Vórtice
LEVEL_03_01,Cracks,Rachaduras,Rachaduras
LEVEL_03_02,Waves,Ondas,Ondas
LEVEL_03_03,Shore,Costa,Costa
LEVEL_03_04,Mist,Névoa,Salmoura
LEVEL_03_05,Lagoon,Lagoa,Lagoa
LEVEL_03_06,River,Rio,Rio
LEVEL_03_07,Grotto,Gruta,Gruta
LEVEL_03_08,Crystals,Cristais,Cristais
LEVEL_04_01,Rafts,Jangadas,Jangadas
LEVEL_04_02,Canoes,Canoas,Canoas
LEVEL_04_03,Vessels,Embarcações,Embarcações
LEVEL_04_04,Titanic,Titanic,Titanic
LEVEL_04_05,"Santa Maria, Niña & Pinta","Santa Maria, Niña & Pinta","Santa Maria, Niña & Pinta"
LEVEL_04_06,Sailboats,Veleiros,Veleiros
LEVEL_04_07,SS Chip & Dale,SS Tico & Teco,SS Tico & Teco
LEVEL_04_08,Yachts,Iates,Iates
LEVEL_05_01,,,
LEVEL_05_02,,,
LEVEL_05_03,,,
LEVEL_05_04,,,
LEVEL_05_05,,,
LEVEL_05_06,,,
LEVEL_05_07,,,
LEVEL_05_08,,,
LEVEL_06_01,Kraken,Kraken,Kraken
LEVEL_06_02,Leviathan,Leviathan,Leviatã
LEVEL_06_03,Kappa,Kappa,Kappa
LEVEL_06_04,Charybdis,Charybdis,Caríbdis
LEVEL_06_05,Jörmungandr,Jörmungandr,Jörmungandr
LEVEL_06_06,Scylla,Scylla,Cila
LEVEL_06_07,Megalodon,Megalodon,Megalodonte
LEVEL_06_08,Cthulhu,Cthulhu,Cthulhu
DAILY_BUTTON,Daily Level,Nivel do Dia,Nivel do Dia
DAILY_LEVEL_NOT_PLAYED_TOOLTIP,Daily level not completed,Nivel do dia não feito,Nivel do dia não feito
DAILY_LEVEL_PLAYED_TOOLTIP,Daily level completed!,Nível do dia feito!,Nível do dia feito!
DAILY_TOOLTIP,A hard level that changes daily,Um nível dificil que muda diariamente,Um nível dificil que muda diariamente
DAILY_TOOLTIP_DISABLED,Unlock section 5 to access daily levels,Desbloqueie a seção 5 para acessar níveis do dia,Desbloqueie a seção 5 para acessar níveis do dia
CUR_STREAK,Current win streak:  %d,Sequência atual de vitórias:  %d,Sequência atual de vitórias:  %d
BEST_STREAK,Best win streak:  %d,Maior sequência atual de vitórias:  %d,Maior sequência atual de vitórias:  %d
STREAK_TOOLTIP,Consecutive daily levels with less than 3 mistakes,Níveis do dia consecutivos com menos de 3 erros,Níveis do dia consecutivos com menos de 3 erros
HOURS_LEFT,hour{s} left,hora{s} restante{s},hora{s} restante{s}
MINUTES_LEFT,minute{s} left,minuto{s} restante{s},minuto{s} restante{s}
MONDAY,Monday,Segunda,Segunda
TUESDAY,Tuesday,Terça,Terça
WEDNESDAY,Wednesday,Quarta,Quarta
THURSDAY,Thursday,Quinta,Quinta
FRIDAY,Friday,Sexta,Sexta
SATURDAY,Saturday,Sábado,Sábado
SUNDAY,Sunday,Domingo,Domingo
UPLOADING_TO_WORKSHOP,Uploading to workshop,Fazendo upload para a Oficina,Fazendo upload para a Oficina
